db,comment,attr,value
psql_cstore,hdd_real,load_full,268.5
psql_cstore,hdd_real,click_count,6.5
psql_cstore,hdd_real,banner_pos_count,8.9
psql_cstore,hdd_real,distinct_device_type,37.0
psql_cstore,hdd_real,device_type_count,9.5
psql_cstore,hdd_real,distinct_device_id,115.0
psql_cstore,hdd_real,nnb,27.0
psql_cstore,hdd_real,device_id_20,13.2
psql_cstore,hdd_real,join01,184.0
psql_cstore,hdd_real,join01_notable,34.5
psql_cstore,hdd_real,count01_2035,3.7
psql_cstore,hdd_real,count01_31,31.2
clickhouse,hdd_real,load_full,
clickhouse,hdd_real,click_count,0.2
clickhouse,hdd_real,banner_pos_count,0.4
clickhouse,hdd_real,distinct_device_type,.3
clickhouse,hdd_real,device_type_count,.3
clickhouse,hdd_real,distinct_device_id,.5
clickhouse,hdd_real,nnb,2.0
clickhouse,hdd_real,device_id_20,.9
clickhouse,hdd_real,join01,6.3
clickhouse,hdd_real,join01_notable,2.3
clickhouse,hdd_real,join01_notable_20,3.2
clickhouse,hdd_real,count01_2035,0.2
clickhouse,hdd_real,count01_31,0.2
clickhouse,hdd_real,lag02_dt_per_day,58.3
clickhouse,hdd_real,lag02_dt_distrib,59.0
monetdb,sdd_real,load_full,
monetdb,sdd_real,click_count,0.3
monetdb,sdd_real,banner_pos_count,0.3
monetdb,sdd_real,distinct_device_type,.1
monetdb,sdd_real,device_type_count,.2
monetdb,sdd_real,distinct_device_id,2.3
monetdb,sdd_real,nnb,4.1
monetdb,sdd_real,device_id_20,1.6
monetdb,sdd_real,join01,31.9
monetdb,sdd_real,join01_notable,2.8
monetdb,sdd_real,join01_notable_20,2.9
monetdb,sdd_real,count01_2035,0.3
monetdb,sdd_real,count01_31,0.3
impala,vm,lag02_dt_per_day,142.7
impala,vm,lag02_dt_distrib,145.8
